48.7S,139.1E,0.32
37.7N,39.6W,0.27
25.5S,51.5E,0.49
8.4N,157.9W,0.14
36.1S,5.5W,0.2
5.4S,159.3E,0.36
8.0N,119.1E,0.23
39.1S,118.6W,0.073
15.9S,88.1E,0.18
68.0N,149.0W,0.53
12.4N,122.4W,0.19
8.0S,11.2W,0.11
23.3S,49.2W,0.079
2.0N,28.8E,0.41
45.7N,26.9E,0.4
31.1S,140.0E,0.073
86.7N,162.1W,0.15
33.5N,144.9E,0.11
76.6N,96.3E,0.24
45.8S,172.7W,1.7
18.8S,73.4W,0.18
69.5S,179.7W,0.35
68.2S,24.0W,0.32
43.1N,115.8E,0.45
22.2N,132.9W,0.12
4.6S,66.3W,0.23
2.0S,119.2E,0.1
43.7S,85.7E,0.13
3.2N,137.2E,0.098
22.7N,150.0W,0.12
6.2S,49.9W,0.092
3.2N,45.4W,0.12
61.7S,132.6E,7.6
49.2S,172.2W,0.23
33.9S,115.9W,0.17
18.9N,141.2E,0.67
71.5S,93.4E,0.2
21.9N,131.1W,0.19
39.4S,95.9W,0.4
44.2S,176.2W,0.82
36.9S,87.3E,2.4
28.7S,121.5E,0.13
0.0N,111.8W,1.3
29.0S,94.9W,0.29
32.8S,61.5W,0.092
13.3N,110.7W,1.5
18.5S,141.8E,0.41
2.9N,64.4E,0.24
1.3S,147.6E,0.11
39.5N,2.0E,0.43
32.8N,165.1W,0.2
44.7N,35.3E,0.23
19.1S,25.0W,3.5
10.3S,164.7W,0.46
34.4S,118.2E,0.15
31.8S,137.1E,0.22
50.2S,90.2E,1
0.3N,156.2E,0.36
21.0N,178.5W,0.073
65.6S,138.4E,0.12
3.0S,76.4E,0.073
35.5N,30.7W,10
28.1S,64.6W,2.5
32.7S,17.1E,0.1
23.0S,38.8W,0.1
54.8N,61.1E,440
18.8S,158.6W,0.21
60.3N,64.6W,6.9
15.1S,155.6W,0.16
17.3N,83.6W,0.55
2.5N,29.6E,0.089
8.0S,86.0W,0.36
75.4S,49.6E,0.082
51.2N,84.6W,0.58
41.5S,21.9W,0.75
8.1S,111.9W,1.2
6.9S,73.7E,0.13
1.2N,52.2W,0.67
18.9S,105.2E,0.17
69.8S,111.7W,0.082
18.3S,64.2E,0.22
11.8N,117.0E,0.68
63.1N,172.3E,0.12
36.4N,41.5E,0.39
41.8S,36.2W,0.19
61.8S,135.5W,0.39
76.7N,10.6W,0.63
36.2N,107.4E,0.15
15.8S,174.8W,0.42
38.0N,158.0E,33
22.0S,29.2E,18
4.2S,120.6E,33
